,Mean,Max,Min
2814,51.25,53.0,50.0
2815,52.0,58.0,50.0
2816,50.0,56.0,46.0
2817,48.0,53.0,46.0
2818,48.0,53.0,46.0
2819,47.75,54.0,45.0
2820,46.75,51.0,45.0
2821,46.0,49.0,45.0
2822,46.0,49.0,45.0
2823,44.75,47.0,43.0
2824,44.25,47.0,43.0
2825,44.0,46.0,43.0
2826,43.5,45.0,43.0
2827,43.0,45.0,41.0
2828,42.5,44.0,41.0
2829,42.75,43.0,42.0
2830,43.0,43.0,43.0
2831,44.5,47.0,43.0
2832,46.75,51.0,45.0
2833,47.75,53.0,46.0
2834,49.25,54.0,47.0
2835,49.25,55.0,46.0
2836,50.5,58.0,48.0
2837,50.75,58.0,48.0
2838,51.75,58.0,49.0
2839,51.0,57.0,48.0
2840,51.0,57.0,48.0
2841,50.25,56.0,48.0
2842,49.75,55.0,48.0
2843,48.75,55.0,46.0
2844,47.5,52.0,45.0
2845,46.75,50.0,45.0
2846,46.25,49.0,45.0
2847,46.5,49.0,45.0
2848,46.25,49.0,45.0
2849,45.0,48.0,43.0
2850,41.75,49.0,37.0
2851,42.5,49.0,39.0
2852,41.5,48.0,39.0
2853,42.75,49.0,40.0
2854,44.5,49.0,41.0
2855,46.5,50.0,45.0
2856,48.25,52.0,46.0
2857,50.0,54.0,48.0
2858,51.75,57.0,50.0
2859,51.666666666666664,52.0,51.0
2860,54.0,58.0,52.0
2861,54.75,58.0,53.0
2862,56.0,59.0,55.0
2863,56.25,61.0,54.0
2864,55.75,60.0,54.0
2865,54.0,58.0,52.0
2866,53.5,58.0,52.0
2867,51.75,56.0,50.0
2868,50.0,55.0,48.0
2869,49.25,53.0,48.0
2870,49.5,52.0,48.0
2871,50.0,50.0,50.0
2872,49.0,50.0,48.0
2873,48.5,49.0,48.0
2874,48.25,49.0,48.0
2875,47.5,48.0,47.0
2876,47.25,48.0,46.0
2877,46.75,48.0,46.0
2878,48.0,49.0,47.0
2879,48.75,51.0,48.0
2880,50.5,58.0,48.0
2881,52.5,61.0,49.0
2882,52.5,61.0,49.0
2883,54.75,62.0,51.0
2884,56.0,62.0,54.0
2885,56.0,62.0,54.0
2886,56.25,63.0,54.0
2887,55.0,63.0,52.0
2888,54.5,62.0,52.0
2889,55.0,62.0,52.0
2890,55.75,62.0,53.0
2891,55.75,62.0,53.0
2892,56.0,62.0,54.0
2893,55.5,60.0,54.0
2894,55.5,60.0,54.0
